Organization,Email
Österreichische Post AG,gerd.goelss-neubauer@post.at
ÖBB-Holding AG mit allen verbundenen Unternehmen,simon.weinand@oebb.at
ÖBB-Infrastruktur AG,Manfred.Lientschnig@oebb.at
OMV Downstream GmbH,erika.janott@omv.com
Gemeindeverband für Abgabeneinhebung und Umweltschutz im Bezirk Krems,office@astepahead-law.at
ÖBB-Holding AG mit allen verbundenen Unternehmen,saman.hekmat@oebb.at
OeAD-GmbH - Agentur für Bildung und Internationalisierung,izeta.dzidic@oead.at
Arbeitsmarktservice Österreich,alexandra.tippow@ams.at
Universität Innsbruck,wolfgang.lentsch@uibk.ac.at
Marktgemeinde Seewalchen am Attersee,gemeinde@seewalchen.eu
"Bundesministerium für Klimaschutz, Umwelt, Energie, Mobilität, Innovation und Technologie",
Marktgemeinde Sonntagberg,gemeinde@sonntagberg.gv.at
ÖBB-Infrastruktur AG,Peter.Pollheimer@oebb.at
Austro Control Österreichische Gesellschaft für Zivilluftfahrt mit beschränkter Haftung,vergabeservices@austrocontrol.at
Stadtgemeinde Steyregg,office@steyregg.at
Stadtgemeinde Freistadt Eisenstadt,
Wien 3420 Aspern Development AG,katharina.trettnak-hahnl@kwr.at
Wiener Zeitung GmbH,
"ÖBB Infrastruktur AG  ",Peter.Pollheimer@oebb.at
Landeszahnärztekammer für Wien,katharina.trettnak-hahnl@kwr.at
Marktgemeinde Königstetten,gemeindeamt@koenigstetten.gv.at
"Bundesministerium für Klimaschutz, Umwelt, Energie, Mobilität, Innovation und Technologie, Abteilung III 1",iii1@bmk.gv.at
VERBUND Energy4Customers,
Veterinärmedizinische Universität Wien,
ÖBB-Technische Services Gesellschaft mbH,michael.grasel@oebb.at
Stadtgemeinde Klosterneuburg,
Gemeinde Trausdorf an der Wulka,
"GABL, Gemeindeverband für Abfallbehandlung Bezirk Bruck an der Leitha",ztbuero@paikl.at
Arbeitsmarktservice,alois.rigam@ams.at
VERBUND Energy4Customers GmbH,
VERBUND Energy4Business GmbH,
Benediktinerstift Lambach,betriebe@stift-lambach.at
Melker Kommunalimmobilienverwaltungs Gesellschaft m.b.H.,
"Marktgemeinde Zeillern ",friedrich.pallinger@zeillern.gv.at
Melker Kommunalimmobilienverwaltungs Gesellschaft m.b.H,
Gemeinde Munderfing,gemeinde@munderfing.ooe.gv.at
ÖBB-Holding AG mit allen verbundenen Unternehmen,michael.hoelzl@oebb.at
Österreichische Forschungsförderungsgesellschaft mbH.,
Theater in der Josefstadt Betriebsgesellschaft m.b.H.,theater-josefstadt@kwr.at
Bundesministerium für Finanzen,reinhard.heissig@bmf.gv.at
ÖBB-Personenverkehr AG,jack.lahdo@oebb.at
Krankenfürsorgeanstalt der Bediensteten der Stadt Wien (KFA),Serdar.Zeisl@kfawien.at
Gemeinde Gießhübl,office@kb-partner.at
Bundesministerium für Finanzen,martin.kresnicka@bmf.gv.at
ÖBB-Holding AG mit allen verbundenen Unternehmen,harald.lechner@oebb.at
ÖBB-Werbung GmbH,gerald.walter@oebb.at
FFG,
Sozialversicherungs-Chipkarten Betriebs- und Errichtungsgesellschaft m.b.H. - SVC,
ÖBB-Infrastruktur AG,gudrun.pfadenhauter@oebb.at
Wassergenossenschaft Dielach-Breitenstein-Mail,
Wiener Zeitung GmbH,antonia.bittermann@liebenwein.eu
FWF - Österreichischer Wissenschaftsfonds,stefan.kranewitter@fwf.ac.at
ÖBB-Technische Services GmbH,michael.grasel@oebb.at
"
ÖBB-Werbung GmbH",harald.lechner@oebb.at
ÖBB-Business Competence Center GmbH,michael.perko@oebb.at
ÖBB - Business Competence Center GmbH,marija.agardi@oebb.at
ÖBB-Immobilienmanagement GmbH,sebastian.harbich@oebb.at
Ludwig Boltzmann Gesellschaft - Österreichische Vereinigung zur Förderung der wissenschaftlichen Forschung,arnulf.lechner@lbg.ac.at
ÖBB-Personenverkehr Aktiengesellschaft,martin.reinwald@pv.oebb.at
ÖBB-Infrastruktur AG,peter.pollheimer@oebb.at
ÖBB-Technische Services-GmbH,Robin.Burton@oebb.at
ÖBB-Technische Services Gesellschaft mbH,peter.polheimer@oebb.at
Marktgemeinde Großmugl,gemeindeamt@grossmugl.gv.at
ÖBB-Personenverkehr AG,martin.reinwald@pv.oebb.at
Österreichische Forschungsförderungsgesellschaft mbH,
Gemeinde Wildermieming,
Wiener Gesundheitsförderung gemeinnützige GmbH,kinsky@kinsky-consulting.at
Gemeinde Kasten bei Böheimkirchen,gemeinde@gde-kasten.at
Austrian Development Agency,vergabe@ada.gv.at
Austro Control GmbH,vergabeservices@austrocontrol.at
Marktgemeinde Regau,bauamt@regau.ooe.gv.at
ÖBB-Werbung GmbH,harald.lechner@oebb.at
ÖBB Infrastruktur AG,johann.fidler@oebb.at
"Bundesministerin für Klimaschutz, Umwelt, Energie, Mobilität, Innovation und Technologie",
Marktgemeinde Strengberg,
Landeszahnärztekammer für Wien,
ÖBB-Holding AG mit allen verbundenen Unternehmen,robert.slatner@oebb.at
EBG MedAustron GmbH,office@medaustron.at
ÖBB-Technische Services Gesellschaft mbH,gerald.walter@oebb.at
ÖBB-Holding AG mit allen verbundenen Unternehmen,eva-maria.kindl@oebb.at
Rail Equipment GmbH & Co KG,johann.fidler@oebb.at
A.ö. Bezirkskrankenhaus St. Johann in Tirol,office@architektengruppe-p3.at
NÖ BAWU - Niederösterreichische Beteiligungsgesellschaft für Abfallwirtschaft und Umweltschutz GmbH,herbert.permoser@bawu.at
Österreichische Post AG,Tanja.Mueller@post.at
Stadtgemeinde Schwanenstadt,stadtamt@schwanenstadt.ooe.gv.at
Österreichische Postbus AG,tanja.manfreda@postbus.at
Austrian Development Agency,
OeAD-GmbH - Agentur für Bildung und Internationalisierung,
Österreichische Post AG,Christoph.Suchy@post.at
Bundesministerium für Landesverteidigung,
Stadtgemeinde Korneuburg,
Gemeinde Neukirchen an der Vöckla,gemeinde@neukirchen-voeckla.ooe.gv.at
ÖBB-Personenverkehr AG,robert.ziegler@pv.oebb.at
Klima- und Energiefonds,
Gemeinde Neukirchen an der Vöckla,
Universität Innsbruck,Vergabewesen-FA@uibk.ac.at
Gemeindeverband für Abfallwirtschaft im Raum Schwechat,florian.keschmann@astepahead-law.at
RailNetEurope,andrejs.lepskis@rne.eu
Gemeinde Kramsach,
Gemeinde Mönchhof,
ÖBB-Holding AG mit allen verbundenen Unternehmen,jack.lahdo@oebb.at
ÖBB-Infrastruktur AG,zsolt.kovacs5@oebb.at
"Gemeindeverband für Abfallwirtschaft und Abgabeneinhebung im Verwaltungsbezirk Baden ",florian.keschmann@astepahead-law.at
Österreichische Post AG,dominik.fischer@post.at
Marktgemeinde St. Leonhard am Forst,
Marktgemeinde Großpetersdorf,
Stadtwerke Bregenz GmbH,
Ärztekammer für Kärnten,wurzer@aekktn.at
ÖBB-Holding AG mit allen verbundenen Unternehmen,sebastian.harbich@oebb.at
Marktgemeinde Kottingbrunn,office@kb-partner.at
Marktgemeinde Ober-Grafendorf,
"a.ö. Krankenhaus St. Vinzenz Zams Betriebs GmbH, Sanatoriumstr. 43, A-6511 Zams",bernhard.guggenbichler@krankenhaus-zams.at
Österreichische Post AG,engelbert.poelki@post.at
a.ö. Krankenhaus St. Vinzenz Zams Betriebs GmbH,Bernhard.Guggenbichler@krankenhaus-zams.at
Marktgemeinde Maria Saal,andrea.steiner-pirker@ktn.gde.at
VERBUND Green Power Deutschland GmbH,bernhard.kranz@verbund.com
Rail Equipment GmbH & Co KG,robert.ziegler@pv.oebb.at
Tourismusverband Serfaus-Fiss-Ladis,d.petter@serfaus-fiss-ladis.at oder k.lentsch@serfaus-fiss-ladis.at
"Marktgemeinde Zeillern 
",friedrich.pallinger@zeillern.gv.at
ÖBB-Technische Services-Gesellschaft mbH,michael.grasel@oebb.at
NÖ BAWU Niederösterreichische Beteiligungsgesellschaft für Abfallwirtschaft und Umweltschutz GmbH,florian.keschmann@astepahead-law.at
ÖBB-Holding AG mit allen verbundenen Unternehmen,alexander.feigl@oebb.at
ÖBB-Technische Services-Gesellschaft mbH,martin.reinwald@pv.oebb.at
Marktgemeinde Weiden am See,
"
ÖBB-Produktion GmbH",martin.reinwald@pv.oebb.at
ÖBB-Technische Services-Gesellschaft mbH,zsolt.kovacs5@oebb.at
Marktgemeinde Klein-Pöchlarn,office@kleinpoechan.at
Teil-Generalunternehmerleistungen betreffend technische Gebäudeausrüstung zwecks Errichtung eines Kindergartens,office@kb-partner.at
ÖBB-Holding AG mit allen verbundenen Unternehmen,leonard.schuler@oebb.at
Österreichische Post AG,johanna.maschek@post.at
Bezirkskrankenhaus Kufstein,
ÖBB-Holding AG mit allen verbundenen Unternehmen,mathias.kawinek@oebb.at
St. Antoner - Fremdenverkehrs - Förderungsgesellschaft m.b.H.,peter.mall@arlberg-well.com
FWF - Österreichischer Wissenschaftsfonds,office@fwf.ac.at
Melker Kommunal- und Immobilienverwaltungsgesellschaft GmbH,u.reisinger@gmail.com
"Austro Control GmbH ",vergabeservices@austrocontrol.at
VERBUND AG,franz-christoph.sulzmann@verbund.com
Marktgemeinde Gresten,
ÖBB-Technische Services-Gesellschaft mbH,peter.pollheimer@oebb.at
Österreichische Forschungsförderungsgesellschaft mbH,sophia.huettmair@ffg.at
Österreichische ForschungsförderungsgesellschaftmbH,felicitas.zacherl@ffg.at
Wassergenossenschaft Stetteldorf,
Gemeindeverband für Abfallwirtschaft im Raum Schwechat,
Rail Equipment GmbH & CO KG,johann.fidler@oebb.at
voestalpine Stahl Donawitz GmbH,
Nationalpark Donau-Auen GmbH,
"GABL, Gemeindeverband für Abfallbehandlung Bezirk Bruck an der Leitha",
Ludwig Boltzmann Gesellschaft,arnulf-lechner@lbg.ac.at
Wiener Stadthalle Betriebs- und Veranstaltungsges.m.b.H.,
Marktgemeinde Schwadorf,ausschreibung@wg-a.com
Gemeinde Gießhübl,
AMAG service GmbH,philipp.hoelzlwimmer@amag.at
Gemeinde Gießhübl,office@fp-arch.at
Bezirkskrankenhaus Kufstein,Gerhard.Kapfinger@bkh-kufstein.at
Austrian Research Promotion Agency (Österreichische Forschungsförderungsgesellschaft mbH – FFG),evergabe@fsm.law
Austro Control Österreichische Gesellschaft für Zivilluftfahrt,vergabeservices@austrocontrol.at
Medizinische Universität Graz,medcampus.m2@rieglerriewe.co.at
Austrian Development Agency (ADA),vergabe@ada.gv.at
"Land Niederösterreich, p.A. Amt der NÖ Landesregierung, Abteilung Gebäude- und Liegenschaftsmanagement",ausschreibungen@heid-partner.at
AUOBAHNEN-UND SCHNELLSTRASSEN-FINANZIERUNGS-AKTIENESELLSCHAFT,bernd007@inode.at
"
Bundesverwaltungsgericht",einlaufstelle@bvwg.gv.at
Gemeinde Zell am Pettenfirst,sandra.klein@zell-pettenfirst.ooe.gv.at
Marktgemeinde Türnitz,
Lehrlingshäuser der Wirtschaftskammer Steiermark Betriebsgesellschaft mbH,gertrud.haas@wkstmk.at
Wiener Zeitung GmbH,evergabe@fsm.law
Kindergarten Lanzendorf,
Abwasserverband Wörthersee West,gwagner@awvww.at
Gemeinde Lanzendorf,
Rail Euipment GmbH & Co KG,johann.fidler@oebb.at
Theater in der Josefstadt Betriebsgesellschaft m.b.H.,katharina.trettnak-hahnl@kwr.at
"Bundesministerium für Klimaschutz, Umwelt, Energie, Mobilität, Innovation und Technologie",felicitas.zacherl@ffg.at
Marktgemeinde Ruprechtshofen,
Österreichische Post AG,mehmet.esme@hotmail.com
St. Antoner - Fremdenverkehrs - Förderungsgesellschaft m.b.H.,wellness@arlberg-wellcom.at
EDA Energiewirtschaftlicher Datenaustausch GmbH,
Reinhaltungserband Neusiedlersee - Westufer,
RailNetEurope,andras.till@rne.eu
Zaya Wasserverband Drösing-Ebersdorf,
Abwasserverband Seewinkel,gerald.skala@awv-seewinkel.at
WIEN 3420 ASPERN DEVELOPMENT AG,katharina.trettnak-hahnl@kwr.at
St. Stefan im Rosental - HB Dollrath,
MG St. Stefan im Rosental,
Marktgemeinde Bisamberg,johannes.haider@bisamberg.at
"Bundesministerium für Finanzen ",
Bundesministerium für Arbeit und Wirtschaft,
Gemeindeverband für Abgabeneinhebung und Umweltschutz im Bezirk Mödling,office@gvamoedling.at
Stadtgemeinde Litschau,
Marktgemeinde St. Peter/Au,
Bildungsdirektion Salzburg,carmen.gaderer@bildung-sbg.gv.at
Stadtgemeinde Lilienfeld,
"HSI Hartberg Standortentwicklung und Immobilien GmbH & Co KG ",weber@geosys.at
Marktgemeinde St. Stefan im Rosental,
"Bildungsdirektion Salzburg, ",carmen.gaderer@bildung-sbg.gv.at
Geo Risk Environmental Services GmbH,info@georisk.at
Stadtgemeinde St. Valentin,
WWF Österreich,bettina.urbanek@wwf.at
Medizinische Universität Graz,
Lehrlingshäuser der Wirtschaftskammer Steiermark Betriebsgesellschaft mbH,
Marktgemeinde Molln,
AEFE - Lycée Français,office@atelier-grell.at
" Bundesministerium für Klimaschutz, Umwelt, Energie, Mobilität, Innovation und Technologie",felicitas.zacherl@ffg.at
"OeAD-GmbH Agentur für Bildung und Internationalisierung ",izeta.dzidic@oead.at
Marktgemeinde Jenbach,
Bundeskanzleramt,
Bogenoffset-RFQ der Österreichischen Post AG,mehmet.esme@post.at
Regionalmanagement Landeck-RegioL,jochum@regioL.at
Klima- und Energiefonds,felicitas.zacherl@ffg.at
"Bundesministerium für Klimaschutz, Umwelt, Energie, Mobilität, Innovation und Technologie (BMK)",
Regionalmanagement Region Imst,
GEO RISK Environmental Servies GmbH,inf@georisk.at
Markgemeinde Pischelsdorf am Kulm,gde@pischelsdorf-kulm.gv.at
Stadtgemeinde Hartberg,weber@geosys.at
"Bundesministerium für Klimaschutz, Umwelt, Energie, Mobilität, Innovation und Technologie (BMK)",servicebuero@bmk.gv.at
Gemeindeverband A.ö. BKH Kufstein,hartmut.bergmeister@bkh-kufstein.at
Regionalmanagement Wipptal,s.richter@regio-wipptal.at
Verein Regionalentwicklung Außerfern - REA,info@rea.tirol
"Austro Control Österreichische Gesellschaft für Zivilluftfahrt GmbH ",vergabeservices@austrocontrol.at
Gemeinde Tiefgraben,tiefgraben@mondseelandgemeinden.at
"Bundeskanzleramt ",andreas.heindl@bka.gv.at
FWF - Österreichischer Wissenschaftsfonds,
Kindergarten Lanzendorf,m.sattler@lanzendorf.at
Marktgemeinde Aflenz,g.pichler@aflenz.gv.at
Gemeinde Lech,
Reinhalteverband Salzach-Pongau,office@rhv-salzach-pongau.at
Marktgemeinde Brunn am Gebirge,office@kb-partner.at
Regionalmanagement Kitzbüheler Alpen,
Gemeinde Tiefgraben,tiefgraben@mondselandgemeinden.at
Regionalmanagement Innsbruck-Land,
Gemeinde Mönchhof,post@moenchhof.bgld.gv.at
Marktgemeinde Neuhofen/Ybbs,
Gemeinde Gaschurn,
Gemeinde Frauenstein,juergen.bleikolb@ktn.gde.at
Österreichische Post AG,mohammad.safarha@post.at
Arbeitsmarktservice Österreich,
"""Theater in der Josefstadt"" Betriebsgesellschaft m.b.H.",
A.ö. BKH Kufstein,office@mtpgmbh.at
Gemeinde Opponitz,
Marktgemeinde Bisamberg,bisamberg@bisamberg.at
Bundeskanzleramt,recht@bka.gv.at
Autobahnen- und Schnellstraßen-Finanzierungs-AG,manuelc.scheiwiler@asfinag.at
Bundeskanzleramt,vergabe@bka.gv.at
Autobahnen- und Schnellstraßen-Finanzierungs AG,manuelc.scheiwiler@asfinag.at
Stadtgemeinde Traismauer,stadtgemeinde@traismauer.at
Schauspielhaus Wien GmbH,vergabe@cerhahempel.com
VERBUND Energy4Business GmbH,procurement@verbund.com
Gemeinde Hohe Wand,arch.bernold@mbarchitects.at
Gemeinde Burgkirchen,office@kup-zt.at
Gemeinde St. Pantaleon-Erla,
Gemeindeverband für Abgabeneinhebung und Umweltschutz im Bezirk Mödling,
Gemeinde Gießhübl,c.kreminger@fp-arch.at
Innwerk AG,joerg.schreiner@verbund.com
Austrian Research Promotion Agency (FFG),vergabeverfahren@fsm.law
GEO RISK Environmental Services GmbH,info@georisk.at
EBG MedAustron GmbH,office@ra-wiese.at
Marktgemeinde Kalwang,gde@kalwang.gv.at
Gemeindeabwasserverband Südöstliches Tullnerfeld,gav.soetullnerfeld@speed.at
Marktgemeinde Langau,
Wien 3420 aspern Development AG,katharina.trettnak-hahnl@kwr.at
Stadtwerke Bregenz GmbH,oliver.drees@stadtwerke-bregenz.at
Gemeindeverband für Aufgaben des Umweltschutzes im Gerichtsbezirk Laa an der Thaya,gaul@gaul-laa.at
Wirtschaftsagentur Wien. Ein Fonds der Stadt Wien.,katharina.trettnak-hahnl@kwr.at
PI_3041_Grafikagentur_2025-2028,mehmet.esme@post.at
VERBUND AG,Marc.Dworak@verbund.com
Arbeitsmarktservice Österreich,ams.inf@ams.at
Marktgemeinde Guntramsdorf,
AI AG,cbaltes@ai-ag.de
Energy Community Secretariat,procurement@energy-community.org
Stadtgemeinde Mariazell,
Gemeinde Lochen,
Österreichische Forschungsförderungsgesellschaft mbH,recht@ffg.at
Stadtgemeinde Mödling,office@kb-partner.at
Fachhochschul-Studiengänge Betriebs- und Forschungseinrichtungen der Wiener Wirtschaft GmbH,office@terzaki.at
Salzwelten GmbH,salzwelten-hallein-neuinszenierung@heid-partner.at
Flughafen Wien AG,"a.unger@viennaairport.com, a.unger@viennaairport.com"
FHW Fachhochschul-Studiengänge Betriebs- und Forschungseinrichtungen der Wiener Wirtschaft GmbH,"office@terzaki.at, office@terzaki.at"
Wasserverband Hofsteig,office@rgpzt.at
"Land Steiermark, Abt. 14, Referat Wasserwirtschaftliche  Planung",abteilung14@stmk.gv.at
Kaunertaler Gletscherbahnen GmbH,office@zt-gstrein.at
Die Innovationsstiftung für Bildung,recht@oead.at
"Bundesministerium für Arbeit, Soziales, Gesundheit und Konsumentenschutz",kanzlei@schramm-oehler.at
Marktgemeinde Eggelsberg,gemeindeamt@eggelsberg.ooe.gv.at
Autobahnen und Schnellstrassen Finazierungs AG,heinz-christian.bruenner@asfinag.at
Gemeinde Stadl-Predlitz,gde@stadl-predlitz.gv.at
Autobahnen und Schnellstrassen Finanzierungs AG,heinzchristian.bruenner@asfinag.at
Marktgemeinde Rohrbach bei Mattersburg,post@rohrbach-mattersburg.bgld.gv.at
Münze Österreich AG,
Steiermärkische Gebietskrankenkasse,wolfgang.milbradt@stgkk.at
"Gemeinde Alberschwende, Hof 3, 6861 Alberschwende","office@rgpzt.at, office@rgpzt.at"
Bildungsdirektion für Steiermark,sabine.habicht@bildung-stmk.gv.at
Oesterreichische Banknoten- und Sicherheitsdruck GmbH,
Wasserleitungsverband Nördliches Burgenland,technik@wasserleitungsverband.at
Bundesamt für Eich- und Vermessungswesen,CD2019@bev.gv.at
Österreichische Akademie der Wissenschaften - Institut für Quantenoptik und Quanteninformation - IQOQI Wien,
"Bundesministerium für Arbeit, Soziales, Gesundheit und Konsumentenschutz",ariane.seitner@sozialministerium.at
Schönbrunner Tiergarten-Gesellschaft m.b.H.,office@zoovienna.at
GAV Langenlois-Schönberg//K.,office@iup.at
Bundesministerium für Nachhaltigkeit und Tourismus,wolfram.tertschnig@bmnt.gv.at
Gemeinde Mehrnbach,office@woelfle-zt.at
Wiener Gebietskrankenkasse,
GA Immobilien GmbH,wpa@wpa.at
Institute of Science and Technology Austria,tendering@ist.ac.at
Parlamentsdirektion,au-parlamentsdirektion@vergabeexperten.at
Wiener Krankenanstaltenverbund,sscbetrieb@wienkav.at
Abwasserverband Leibnitzerfeld Süd,office@planconsort.at
Stadtgemeinde Deutsch-Wagram,m.deubner@archland.at
GAV Langenlois-Schönberg am Kamp,office@iup.at
ÖBB-Personenverkehr Aktiengesellschaft,ernst.grafinger@pv.oebb.at
Stadtgemeinde Groß-Siegharts,office@iup.at
Windbach-Taurachgenossenschaft,schutzwasserwirtschaft@salzburg.gv.at
Flughafen Wien AG,s.abmeier@viennaairport.com
Marktgemeinde Schruns,gemeinde@schruns.at
"Bundesministerium für Arbeit, Soziales, Gesundheit und Konsumentenschutz",benedikt.treschnitzer@sozialministerium.at
Österreichische Forschungsförderungsgesellschaft,felicitas.zacherl@ffg.at
AGGM Austrian Gas Grid Management AG,vergabe@aggm.at
Ortswärme St. Johann in Tirol GmbH,office@casati.at
Flughafen Wien AG,b.kofler@viennaairport.com
Münze Österreich AG,einkauf@austrian-mint.at
Verein Lokale Agenda 21 Wien,binder-zehetner@LA21wien.at
Stadt St. Pölten,office@autham.at
Marktgemeinde Langenzersdorf,office@iup.at
"Republik Österreich, vertreten durch BM für Nachhaltigkeit und Toursimus, vertreten durch Amt der NÖ Landesregierung, Abteilung WA2",agnes.bogensperger@porr.at
Gemeinde St. Pantaleon-Erla,office@ikw-amstetten.at
Marktgemeinde St. Peter/Au,office@ikw-amstetten.at
Austro Control Gesellschaft mit beschränkter Haftung,vergabeservices@austrocontrol.at
Verein Nationalparks Austria,vergabe@h-i-p.at
Österreichische Galerie Belvedere,
Marktgemeinde Neuhofen/Ybbs,office@ikw-amstetten.at
Verein zur Erhaltung und Erneuerung der Infrastruktur der Stadtgemeinde Oberpullendorf und Co. Kommanditgesellschaft,GP_NMS-OPD@goya.at
Flughafen Wien AG,a.unger@viennaairport.com
Gemeindeverband für Abfallwirtschaft im Raum Schwechat,j.maschl@avschwechat.at
Raab-Oedenburg-Ebenfurter Eisenbahn AG,office@casati.at
Universität Innsbruck,Wolfgang.Lentsch@uibk.ac.at
Stadtgemeinde Wolkersdorf im Weinviertel,stadtamt@wolkersdorf.at
Gemeinde Oslip,"post@oslip.bgld.gv.at, info@pieler.co.at"
Österreichische Galerie Belvedere,fasching@k-r.at
Bundesdenkmalamt,"andreas.heindl@bka.gv.at, andreas.heindl@bka.gv.at"
Marktgemeinde Zeillern,office@ikw-amstetten.at
Marktgemeinde Allhartsberg,office@ikw-amstetten.at
"Bundesministerium für Verkehr, Innovation und Technologie",
Stadtgemeinde Ebreichsdorf,office@ebreichsdorf.at
Agentur für Gesundheit und Ernährungssicherheit GmbH,
Oesterreichische Banknoten und sicherheitsdruck GmbH,
Wiener Gebietskrankenkasse,vergabeverfahren@wgkk.at
Bundesministerium für Nachhaltigkeit und Tourismus,office@balsa-gmbh.at
Österreichische Akademie der Wissenschaften,Wolfgang.Lentsch@uibk.ac.at
Marktgemeinde Kreuzstetten,marktgemeinde@kreuzstetten.gv.at
Stadtgemeinde Leoben,"kanalbau@leoben.at, j.kitzberger@bdl.at"
Niederösterreichische Verkehrsorganisationsges.m.b.H. (NÖVOG),
"Marktgemeinde Eggelsberg, Marktplatz 13, 5142 Eggelsberg",gemeindeamt@eggelsberg.ooe.gv.at
Bundesministerium für Nachhaltigkeit und Tourismus vertreten durch Magistratsabteilung 45 - Wiener Gewässer im Wege der Wiener Gewässer Management GmbH (WGM),"post@wgm.wien.at, post@wgm.wien.at"
Marktgemeinde Gunskirchen,gemeinde@gunskirchen.ooe.gv.at
Wasserverband Mittleres Burgenland,info@pieler.co.at
Gemeinde Weiler,gemeindeamt@gemeinde-weiler.at
Freiwillige Feuerwehr Wiener Neustadt,office@ffwn.at
Institute of Science and Technology Austria,
FF Palt,N10515@feuerwehr.gv.at
Gemeinde Viehdorf,office@ikw-amstetten.at
Messe Tulln,info@zp-zt.at
Marktgemeinde Gratkorn,office@neger-ulm.at
"Bundesminister für Verkehr, Innovation und Technologie, pA Bundesministerium für Verkehr, Innovation und Technologie, Sektion III, Bereich Innovation, Abteilung I-3, Energie- und Umwelttechnologien („BMVIT“)",h.kuechli@shmp.at
VERBUND AG,mathias.hofbauer@verbund.com
Krankenfürsorgeanstalt der Bediensteten der Stadt Wien – KFA,office@santesis.at
Stadtgemeinde Mattighofen,office@mattighofen.at
"Bundesministerium für Arbeit, Soziales, Gesundheit und Konsumentenschutz",andreas.zwedler@sozialministerium.at
Landwirtschaftliche Bundesversuchswirtschaften GmbH,office@heid-partner.at
Stadtgemeinde Mureck,kiga-mureck@wolftheiss.com
Steiermärkische Gebietskrankenkasse,marion.raudner@stgkk.at
KHM-Museumsverband,angelika.polster@khm.at
Land Oberösterreich,gbm.post@ooe.gv.at
Profactor GmbH,standort@profactor.at
Freiwillige Feuerwehr Wurmbrand,philipp.rurlander@feuerwehr.gv.at
Abwasserverband Eisenstadt Eisbachtal,office@awv-eisenstadt.at
Marktgemeinde Stegersbach,eisenstadt@daxundpartner.at
Niederösterreichische Gebietskrankenkasse,ProjektPoechlarn@noegkk.at
VERBUND Sales GmbH,
Österreichische Nationalbibliothek,
Stadtgemeinde KLOSTERNEUBURG,office@micheljak.at
VERBUND Trading GmbH,
Vorarlberger Energienetze GmbH,
"Stadtgemeinde Enns, Hauptplatz 11, 4470 Enns",w.gurtner@enns.ooe.gv.at
Energie West Management und Service GmbH,j.buchauer@energiewest.at
Marktgemeinde Telfs,hkw@hkwinkler.com
Raab-Oedenburg-Ebenfurter Eisenbahn AG-GYSEV Zrt.,office@casati.at
Marktgemeinde Altmünster,peter.pesendorfer@altmuenster.ooe.gv.at
Bundesamt für Eich- und Vermessungswesen,
Wasserverband Hofsteig,
